Genes	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
LRRK1	23.5802266195818	8.31752062933662	0.198947833551249	0	16.5528131413442	20.7265900428904	15.417551340446	27.4440694066116	18.1029566147427	0
LRRK2	2.94752832744772	2.13890870568353	0	0	2.037146769588	2.78114651476456	0.295056273132412	15.356279793925	144.355621318285	0
LRRN3	0	0.32152377497805	45.7044515730592	6.88565949272756	0	0	0	0	0	0
LSR	5.89505665489545	141.257442419903	17.3392717321539	12.5393564802254	2.76220541268219	0.200941854661168	2.84931179901692	0	0	0.496252302610684
LTA	9.29605087887359	0.545812297583466	20.7332909769799	12.5393564802254	0	0	0	0	0	3.27103799530537
LY86	35.2466879283072	5.99560008619268	1.065719563395	0	170.300057749459	95.5077241952288	24.7489961480289	151.35419255863	0	1.48875690783205
LY9	374.144419746022	1.3934522713027	160.200974019871	237.063419678192	158.619366219748	23.9862998667288	9.88878800835284	4.034047359716	0	114.517170652798
LY96	5.66832370663024	14.9288545094423	4.32386734353561	0	180.348819227675	86.8247424762003	99.1128300457241	56.1404924227144	134.033714330447	0
LYN	65.0733676397373	28.3943526633369	0.338371081642526	0	2.11084000796104	4.6974560480516	1.25857561962824	27.5659902913927	118.378576746863	4.34463384971451
LYPD6B	5.33278583398771	5.06043787909245	0	0	0	0	0	0	0	0
LYZ	0	129.55814262746	0.41801001150698	0	194.79093639444	158.379233773047	198.361429882259	533.940839354999	57.1960442390198	0
MAF	0	13.4751133910466	17.6670090304019	81.0540488858216	176.437281987176	61.5190468552889	232.521845726318	7.39575349281267	0	107.723842501797
MAFB	0	19.2586160409869	0	0	101.738675721853	183.433726371979	43.0748901380793	282.054118663928	5.805032979151	0
MAGEE1	17.6851699646863	2.10309374524513	21.4690773338943	25.5753066872738	0.356653095517725	0.050235463665292	0.147528136566206	0.15702263724701	0	23.8800657648749
MAL	0	3.25920889150769	262.846172760718	19.3790054694393	0	0	0	0	0	0
MAN1C1	1.03291059745615	8.22344161295063	41.5985816983482	7.97959048741619	1.7026527093504	1.80701050784076	4.78636246259049	6.72099658937427	0	0
MANEAL	2.48216112171178	10.4493237483437	2.15571266395673	10.2594734838208	8.21316109423941	9.79519066447017	68.1579990935871	1.008511839929	0	7.15996516700308
MANSC1	0.496432224342356	25.3273684986003	2.15135385587924	0	1.66918309229199	1.22961816562405	1.77033763879447	3.91556615527	163.228415737753	0
MAOA	0	38.5367019554939	0.410727378706808	0.196733128363645	5.67943809906479	57.5852736093897	116.694756023869	0	0	0
MAP2	6.88607064970765	5.73673763784961	0.293527758850507	0	0.569703370313049	0.050235463665292	0	0	0	0
MAP3K9	23.806959567847	2.48778258408993	2.9189689720815	3.73792943890925	0	0	0.232682029187401	0	0	0.455706678016801
MAP4K1	176.624966698598	5.96409833045624	110.556709300355	235.967890127879	1.83468580948181	1.49473797003771	0.583702739340304	30.1483463514259	0.071702546860124	110.315309686491
MAP9	100.896161978018	3.61804932265649	6.71345307031511	7.39278611930478	0	0	0	0	0	5.13441033196646
MARC1	0	12.8632262316882	0	0	39.3707186187408	8.2141031181114	106.117158012067	64.2780357518868	33.8713560251741	0
MARCH1	166.139317746575	3.54371255458661	0	0	142.564268716461	258.270922130885	16.9282642176888	296.15918556224	0	0
MARCH9	207.177714958876	21.9485705254476	123.389587361008	101.034743630499	42.4101806056346	58.7851303715067	12.5648295761197	13.4468245323867	0.272418998674153	53.8156600252339
MARCKS	156.658107280849	63.0107195165195	0.334186578967153	0	253.483159995531	945.850639453123	2.3464920697786402	450.262890833414	435.016699855861	0.951958980627485
MARCO	0	2.53319297009117	0	0	84.3997866594414	777.573746385699	9.80620602091711	98.6010750008899	0	0
MARVELD1	0	30.5099211174057	1.17618806601845	1.57386502690916	37.358529639615	20.5989866268133	12.5648295761197	39.7658964871311	0	0
MATK	0	2.17952925939511	0	6.83964898921387	14.3081171890318	6.25726763874512	3.39314714102274	0	0	20.3657540220062
MATN1	36.2772717224335	0.0784656338798676	2.1524123913441	2.27988299640462	0	0.246588495864107	0	0.549579230364535	0.620509832615485	1.40766565864429
MB21D2	0.661909632456474	3.938411917646	39.3337283718676	13.6792979784277	14.3692969785159	26.6779019367795	0.295056273132412	9.71519742064642	0	0.496252302610684
MBNL2	14.9643745855038	25.8702510472811	10.4734862840531	8.85299077636401	13.739469938581	5.76274194673023	13.8443318159107	17.1154674599241	0	6.62316723979851
MBNL3	21.8632743128218	3.74628345905227	4.07192831218965	13.9641515586868	9.9024452054637	6.79194794838543	15.293011770716	18.0485125017613	0	7.53458059583211
MCF2L	5.21485781009982	23.518091163482	6.23799308909704	2.95099692545467	0.359881796312096	0	0	0	0	1.8228267120672
MCOLN3	0	1.64049848588079	0.958913455154149	0	21.8743334009041	6.84348146330308	6.18724903700722	0	0	0
ME1	0	9.30430145791235	0.182743789106574	18.8926756382233	137.04928619609	76.2818576664777	2.33481095736122	5.06624912330142	0	0
ME3	0.906931793060838	11.1160109086194	2.91121718906771	1.13994149820231	15.5818016159929	9.68529765114274	57.5798345979921	1.42384223828	0	3.39267486908702
MEF2C	86.9366419525591	7.64826211783146	0	0	7.23253974415081	1.25442040752255	0.295056273132412	61.049052353483	16.930064696183	5.37768407952976
MEOX1	0	1.03017840215314	10.1505721915139	3.34446318218196	0	0	0	0	0	0
MERTK	0	8.75376785691902	0.0859188314489042	0	11.3898750590867	6.10470311816251	1.63436767015285	2.42696140548895	0	0.496252302610684
METTL1	12.9072378329012	39.8125713908263	25.3272196155537	27.1068824374509	166.75838680824	269.828511076312	124.028866545442	9.18257653598383	0	12.2538298743757
METTL7B	0.172151766242691	4.10744759124047	0	0	73.3379618257637	63.4320863868444	281.076228644199	0.633281140412678	0	0
MFHAS1	33.9138979498102	10.4213281728071	79.4949426327728	53.392344194979	223.542463847451	183.757883057971	207.564694109412	19.9483559229993	0	67.2047673882383
MFSD2A	0.992864448684711	8.97991019998878	0.335653314500316	0	13.3275181157778	9.1194581013874	8.81002933739769	27.4440694066116	0.636768747255577	0.455706678016801
MGAT3	8.84258498234317	1.48064667014025	0.174657941607149	0	9.7107869016768	2.47213023534628	40.9037076379179	0.313393465182143	0.720970420242662	0
MICAL2	0	30.6181954546181	8.13962682581233	71.4635991532796	16.1751179043965	12.429304637315	25.4861562974719	86.0596770072747	291.312429082778	32.8839936535709
MID2	2.72079537918251	6.57860932772888	47.6729210089563	43.3177769316879	19.1671377663397	9.02245177056856	59.6544199605791	0.336170613309667	0	6.70425848898628
MITF	0	4.9496849495246	0	0	118.450094742142	52.9002726404067	84.0099226101852	10.6788167871	0	0
MKKS	0	32.2677610526248	0	0	0	3.05672684948493	64.9077446146418	0	0	0
MLLT3	3.85446012050856	14.6256773555283	67.0607063215728	19.6733128363645	1.60735539092655	1.50706390995876	0.116740547868061	2.13576335742	0	14.0766565864429
MLPH	0	40.6578983542816	0	0	13.8437754133802	1.09649518454952	0.930728116749604	0	0	0
MMD	125.100920534274	11.0792314992931	9.57726000947715	4.92852407953652	7.88835313638493	4.84848632921275	4.65364058374802	7.47517175096999	0	16.5984637240902
MME	6.0253118184942	4.88773246967806	1.35999178082885	0.821420679922754	175.5376470175	59.0869362725974	103.198644315366	3.16640570206339	1161.85008001477	0
MMP1	0	6.51076478590196	0	0	0.695538207668426	18.8190725162033	0	0	0	0
MMP17	60.2375989950178	3.26569844188275	0.0855835385198669	0	1.88778755637003	1.03694372492905	8.60923507993384	31.3474164504275	0.142443608711965	0
MMP7	0	31.8487533251702	0	0	560.02331126495	5361.64269733688	2.83179514416354	0	0	0
MMP9	0.330954816228237	17.7123743204713	0	0	13190.8466053898	26581.7090268538	10.9170821058992	4.62748727441	568.672341779914	0
MOB3B	26.3010219987643	3.91832847958726	0.927545800008251	0.821420679922754	17.6700723250214	11.7636897319424	25.2159583395011	9.08841049028214	1.84396994404723	0
MOGAT1	0	0	0	0	4.04451396493751	1.18572169061942	60.9626916470991	0.316640570206339	0	0
MORC4	7.93565318928233	16.0276005324074	18.9058177823625	9.85704815907304	2.59184872905197	0.531466449923523	2.55950232106141	0.0808987135162982	0.071702546860124	4.75979490313743
MPEG1	140.324842080772	7.39145977769623	0.340508403033763	0	88.9789577838498	96.9056563858141	2.51715123925648	2617.37799451821	269.003322713524	0.951958980627485
MPHOSPH6	6.61909632456474	29.4618641586644	26.6504158853299	23.6079754036374	12.8183694868637	17.8662308555269	17.2607919782461	37.3713876647884	0	14.8161826366168
MRAS	0	10.7523841389593	0.0855835385198669	0	212.544521849499	184.743999964316	322.642659594563	20.28975189549	0	0
MRC1	0	0.683348173386842	0.442068476257963	0	70.7790859267284	27.436948525119	3226.14529042979	4.48066439291618	0	0
MRGPRF	0	3.77769620039005	0	0	53.2709858380362	25.3552893509597	89.8152632663368	0	0	0
MRPL11	13.5999895331726	76.3219000885015	25.3446763639391	16.4284135984551	49.4238269339087	50.840140617319	59.537679412711	28.5745021313217	0	26.5332145837879
MRTO4	25.3180434414601	32.3315024473876	75.0173542655548	68.0696624138211	204.05902193985	275.440320829204	193.555828365245	25.5161785526391	0.278635810563354	53.9778425236095
MS4A1	1526.50994497898	0.888739407807453	0.408299834440085	13.1811196003642	0	0	0	1.008511839929	0	1.90391796125497
MS4A14	0.516455298728074	0.995556675498912	0	0	2.854828985541	5.55807941051953	5.01984355832661	7.20804969918928	0	0
MS4A4A	0	10.2939081362393	0	0	450.244490741015	234.471746727057	367.499244688655	35.3300933805773	0	0
MS4A6A	0	43.8823347737041	0.9069903300817	0	31.7985678830619	1.84007761467614	8.37655305074644	739.355731431801	31.4446936387683	0
MS4A7	7.99917875098157	13.0338247685485	0	0	89.8061198503701	265.372946738274	211.755348002452	280.321566081819	0.324422236643407	0.455706678016801
MSANTD3	7.28100595702122	21.2600312530176	10.915909312115	13.5745858570915	56.9108438071013	169.660045611816	43.7355027820814	2.21648399144437	0	5.63066263457714
MSC	0.827387040570593	6.88337844971889	1.43148513917547	43.3177769316879	64.132876255293	355.643267988475	217.092333231845	6.76325063182999	0.309305637705728	0
MSI2	137.998863152223	34.9673839520705	45.7006181968244	46.820978755597	2.87460638298379	3.23318338100751	0.116341014593701	9.71519742064642	11.7587990437782	22.6751282292
MSR1	0	10.9658779477761	0	0	1099.27681793136	501.825749307966	1065.6836936783	4.78919043603381	0	0
MT1E	0	110.4457836296	5.86403369409941	54.717191913711	244.544700485988	550.20025771998	586.940418625219	3.36170613309667	0	1.48875690783205
MT1G	0	26.4389483412439	0	0	22.5012259839595	1553.63382058139	179.51418551808	0.840124573671784	0	0
MT1H	0	2.34094977541743	0	0	26.6502298450143	1311.23857911608	129.83657228657	0	0	0
MT1M	0	3.57065826377446	0	0	0.889917286790701	235.932872757714	11.0620340432422	0	0	0
MT1X	1.65477408114119	179.450505314463	118.757194588886	153.605667145555	109.374592226885	2174.27473246935	276.426250674632	80.7433454026164	0.635336495579926	93.3228209186033
MTFP1	2.31668371359766	30.5368180932719	39.6180172926891	72.956255884948	20.0437225689228	51.7248957731343	23.1619174408943	3.92058134380166	0	28.9333848476536
MTMR11	0	14.0926709448239	0.9069903300817	0.393466256727289	1.75095821164895	1.72476125032742	4.57337223355238	123.498312329752	0	0.992504605221368
MTSS1	444.663003490495	24.073552727388	30.7110632532422	32.8568271969101	16.9507067314675	11.8046092110818	0.943931714721181	94.9921710619016	0.071702546860124	63.9645702100427
MTUS1	0	46.4141439662437	0.182111878611506	0	2.28675009462312	5.29870746453693	18.2115254674175	0	0	0
MYBBP1A	32.8762774984554	41.2519908042028	47.3216446801337	46.0355520370928	6.04531438243833	6.13233516014356	5.83702739340304	12.2223451421036	0	19.7884104702078
MYBL1	2.94752832744772	2.09356294560494	16.0215339911369	130.605888107718	0.887591798302357	0.355573151579761	0.33521315282552	2.21648399144437	0.147711141999152	166.137114931793
MYC	103.616957357201	72.1824049388187	273.20350162253	112.534633149417	33.9724448804111	91.9656653092018	9.88898624046455	14.4553363723157	0	6.16746056178171
MYCL	0	5.30783650487382	0.167826657250158	0	70.0782992520234	12.9916634657789	26.8747743711448	125.29811696864	1.32263976500792	0
MYLK	0.516455298728074	38.4111915845922	0.926576275801697	0.196733128363645	18.5732202791874	54.5569791820726	1.98458931375703	6.59495076437442	0	0
MYO1G	29.5711849611906	5.09655505296566	35.4826992948739	80.857315757458	1.23778749223134	2.14633281357675	0	64.7848218417399	10.4364364562581	41.7240126492338
MYO7A	0	3.76181318915108	0	0.393466256727289	12.6972238765906	23.6579613719296	4.13078782385376	14.1027059331964	0	0
MYO7B	12.0168462580561	0.807531773866237	0.17257103066439	0	0.21860446407804	0	0.147528136566206	15.4638482122447	45.4584801086013	0
MYOF	0	58.4612608348767	0	0	31.6014258336876	44.5832486214204	17.4083201148123	14.95034350194	0	0
MYOZ1	0	0.642130589045322	0	0	69.6699666857998	31.2818547995885	118.760149935796	0	0	0
MZB1	112.808594481579	13.096478012548	6.17940152986968	5.69970749101156	0	0	0	0.560083049114523	0	5.59011700998326
N4BP3	27.3721308325879	2.41358941230633	2.20651998055421	2.27988299640462	0.887591798302357	2.61077537745614	6.49123800891306	0	0.339787687671832	0.455706678016801
NAP1L2	1.15834185679883	1.30432290905031	30.5995919800207	49.2852407953652	0	0	0	0.0808987135162982	0	28.5182237942307
NAP1L3	0	1.0870353890116	30.5459497019539	24.0014416603646	0	0	0	0	0	10.5526400360901
NCALD	0	8.70211700256559	6.82528093391297	39.8979524370809	0	0	0.581705072968503	0.313393465182143	0	93.2919801014936
NCAM1	0	1.11122099591725	0	1.64284135984551	0	0.342470600732338	0	0	0	38.4935202785223
