Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
TCGA-BT-A20N-11A	1.7197191370691e-4	0.06332475996802378	0.8030277608991283	0	0	0.0992215847313568	0.03425392248778436	0
TCGA-ZF-AA54-01A	0	0.00923304113751746	0.6266408799028765	0.01769195801961265	0	0.34347710321090147	0.00295701772909198	0
TCGA-GU-A766-01A	0	0.05404954574002903	0.3965181231957664	0.2176336664601318	0.02212450977622571	0.3087572438808864	0	9.1691094696077e-4
TCGA-LT-A8JT-01A	0.01064420391499306	0.03068160384932786	0.6857510838845577	0	0	0.19415199030394212	0.07592521689331316	0.00284590115386614
TCGA-FJ-A3Z9-01A	0.02105615776338346	0.00444148258556003	0.8836027548997417	0	0.0085167275187496	0.05021647056643011	0.03216640666613506	0
TCGA-DK-A1AC-01A	0	0	0.594796917998679	0.155912765127293	0	0.24929031687402817	0	0
TCGA-GC-A6I3-11A	0.02354182555868044	0.08041954734186536	0.4595611876143512	0.0064550370246539	0.00752311144899893	0.1220866022300014	0.20253603233960576	0.09787665644184308
TCGA-C4-A0F1-01A	6.9173391279815e-4	0.01836603332897498	0.8578082832977072	0.00708435535146507	0	0.10296507483242295	0.01292545197677216	1.5906729985937e-4
TCGA-G2-A2ES-01A	0	0.040020483389927	0.6523209706709939	0.06638641713007754	0	0.2412721288090015	0	0
TCGA-XF-AAN4-01A	0	0.05051748816001587	0.749405138578043	0.00999149204107274	0.00432488029745111	0.15756312038100354	0.02819788054241367	0
TCGA-4Z-AA83-01A	0	0.02735304294620523	0.7513979177481264	0	0.00145227472641573	0.18608213786351355	0.03371462671573913	0
TCGA-4Z-AA7N-01A	0	0.0767175108354765	0.33903781940997635	0	0	0.10404637880083782	0.2097511807624974	0.27044711019121187
TCGA-HQ-A2OE-01A	0.23127537656610153	0	0.5582200287745825	0	0	0.19871586448251147	0	0.01178873017680439
TCGA-UY-A8OC-01A	0	0.03262188612327618	0.9195046896681252	0	0	0.04644639492005817	0.00142702928854066	0
TCGA-GV-A3JV-01A	0	0.03372681132165806	0.7172688811946492	0.07000105746970246	0	0.17110102969320637	0.00170298899298746	0.0061992313277966
TCGA-XF-A9T8-01A	0	0.00246839391715593	0.5161930413380382	0.09873470815647337	0.0075984540813698	0.36353021347098086	0	0.01147518903598186
TCGA-KQ-A41S-01A	0.05844837421453909	0.05336214972293859	0.7187978003294804	0.0044565003959007804	0	0.16493517533714108	0	0
TCGA-CU-A3YL-01A	0	0.09659867655656686	0.70492221434797675	0.04560749649816983	0	0.15287161259728663	0	0
TCGA-E7-A7XN-01A	0	0.00725114833921289	0.16418074392458504	0.4690178070672236	0.02078795260382761	0.3387623480651509	0	0
TCGA-DK-A2HX-01A	0	0.00660564279576513	0.8487503448653159	0.01089437934309179	0	0.1337496329958272	0	0
TCGA-CF-A8HY-01A	0.08568881962878819	0.1458311495253338	0.6358430193715218	0	0	0.11381698131801156	0.01882003015634473	0
TCGA-4Z-AA7W-01A	0	0.00379157241777446	0.2178111463591595	0.4167765666908452	0.01493699477686718	0.3243363979070371	0	0.02234732184831668
TCGA-FD-A43U-01A	0	0.01643246623919536	0.5529555455886689	0.04150405997789567	0.0034443151229967	0.3552376151967915	0.02882019793801275	0.00160579993643916
TCGA-BL-A0C8-01A	0.05430970478395097	0.14818024067819816	0.6813304650415596	0	0	0.11617958949629124	0	0
TCGA-BT-A0S7-01A	0.07061558462353779	0.07772555075652718	0.7340258570963921	0	0	0.117633007523543	0	0
TCGA-ZF-A9R3-01A	0.2576903867474025	0.03127884915029194	0.5464260233339487	0	0	0.142704745356914	0.02189999541144276	0
TCGA-4Z-AA89-01A	0.00832976166147739	1.6904760975745e-4	0.4213223017180602	0	0.01527637770125248	0.3581614099633733	0.1963257752890027	4.1532605707638e-4
TCGA-GU-A42P-01A	0.45293239347458913	0	0.4851364148509347	0	0	0.06193119167447614	0	0
TCGA-FD-A3NA-01A	0	0.00490320544908823	0.7189428742867323	0.04430268412895447	0	0.23185123613522504	0	0
TCGA-E7-A5KE-01A	0.41538574126325434	0.03118845568293213	0.45263486598823394	0	0	0.03827716908233332	0.06251376798324636	0
TCGA-ZF-AA4V-01A	0.02965865298116301	3.0876142398595e-4	0.6167284375169586	0.1209678005881348	0	0.2302406339846212	0	0.00209571350513638
TCGA-ZF-AA53-01A	0.00709408834853146	0.00697750607007901	0.6372937804667657	0.04910785162306912	0	0.2995267734915548	0	0
TCGA-ZF-A9RM-01A	0.5815201304133514	0.00610723391029586	0.3746256688665191	0	0	0.03774696680983362	0	0
TCGA-BL-A13I-01A	0	0.01662545364782623	0.4292239882527715	0.00125613632885103	0.001272976036641	0.5088282152238354	0.04279323051007496	0
TCGA-CU-A72E-01A	0	0.02422667740461807	0.7798886463459722	0	0	0.18375982237776584	0.01212485387164411	0
TCGA-CF-A47W-01A	0.00633385106606572	0.25150994461198595	0.5625392983681453	0	0	0.15894204341747767	0.02067486253632543	0
TCGA-GC-A3I6-01A	0	3.5474791266182e-4	0.6515760661785612	0.02365768863362894	0	0.30029146976276067	0.02412002751238734	0
TCGA-FD-A6TA-01A	0	0.00413078982161869	0.7298911660198675	0.02998648858966918	0	0.1942918974394814	0.00215906567559272	0.03954059245377049
TCGA-CF-A47X-01A	0.03096835707287454	0.14427130021456194	0.6712555302332116	0	0	0.0977520221635467	0.05575279031580511	0
TCGA-ZF-AA51-01A	0	0	0.6058313197732762	0.07618076456580995	0	0.23724724757431195	0	0.08074066808660195
TCGA-FD-A62O-01A	0.243887764289868	0	0.7069006585580793	0	0	0.04921157715205269	0	0
TCGA-BL-A3JM-01A	0.1031592882370273	0.00436319983048773	0.6483079203683807	0.05448437287047968	0	0.1896852186936245	0	0
TCGA-FJ-A3ZF-01A	0.7937177846866574	0	0.1930972281808813	0	0	0.01318498713246133	0	0
TCGA-CU-A0YO-01A	0	0.11492816660345924	0.6292734101310479	0.01243183546177812	0	0.1925841844415582	0.05078240336215648	0
TCGA-CF-A5UA-01A	0.28830203196219245	0.06999884291747414	0.4979455306896024	0	0	0.13761169688583666	0.00614189754489441	0
TCGA-K4-AAQO-01A	0.00133358475346744	0.04086820767591038	0.752392303534736	0.03239650616678488	0	0.16203907257645028	0	0.01097032529265107
TCGA-FD-A3SM-01A	0	9.2235903000666e-4	0.8818272070621364	0.02940876740467447	0	0.08784166650318276	0	0
TCGA-BL-A5ZZ-01A	0	0.0524577758387012	0.8522408486218684	0	4.4562837603725e-4	0.08383672077049974	0.0110190263928933	0
TCGA-FD-A62N-01A	0	0.01523086087297826	0.37989437871299897	0.17616572079087672	0	0.4003212409202063	0	0.02838779870293975
TCGA-BT-A20J-01A	0	0.01150535110045114	0.3287706745671432	0.09469959904326884	0	0.5039188959204757	0	0.06110547936866121
TCGA-FT-A61P-01A	0	0.0082392631975218	0.7547357150192563	0.02616663972521102	0	0.2055198760067883	0.00120713382276559	0.0041313722284569
TCGA-DK-AA77-01A	0.02568451083786033	0.02691142373201699	0.44446343955162465	0.18371975742571456	0	0.31922086845278347	0	0
TCGA-ZF-AA5N-01A	0.01332813052225079	0.12046712073769976	0.7663904343452607	0	0	0.0998143143947888	0	0
