Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
SimData109	0.241282639210137	0.3722913254249004	0	0	0.02389388598808785	0.03993951055644374	0.08969560417134442	0.04426704184960391	0.12016086164203774	0.04301728261123412	0.02545184854621068
SimData1090	0.21530082851498908	0.3320130865587952	8.0910456055155e-4	0	0.0254148675951829	0.013100869393352031	0.08941073280294316	0.13272276128538182	0.09488158841868582	0.05380164046296974	0.04254452040714883
SimData1091	0.2154898288649792	0.3335268859914854	0	0	0.02620203154267741	0.02006031860185331	0.08551535638289876	0.1348794091847775	0.09398323137380012	0.04879541565887979	0.04154752239864862
SimData1092	0.21375003901122172	0.32864119649168816	0	0	0.03091922263142882	0.02271281416265165	0.10012218804529167	0.1174336729987576	0.0973153311750264	0.04980452795496984	0.03930100752896425
SimData1093	0.20901034037023664	0.32342995665283647	0	0	0.02783825892154262	0.01937339922001852	0.09550121724901112	0.09553218910419456	0.11283149219681428	0.07759999103098314	0.03888315525436269
SimData1094	0.23445502672246588	0.3601090929257199	0	0	0.02932822050813679	0.02987682298839245	0.07857162969400547	0.0872239021323565	0.10441044200764237	0.04359761040208919	0.03242725261919143
SimData1095	0.23975493660606553	0.3677317653025962	0	0	0.02425227705954045	0.03326976979303773	0.0774046621459925	0.07908460087881859	0.10481097059606066	0.04189828842269366	0.03179272919519469
SimData1096	0.24648022448720125	0.3780479321493509	0	0	0.02852503515428021	0.02873454084855046	0.07738780278771172	0.06609311497362855	0.10516064614040196	0.03635730230257261	0.03321340115630238
SimData1097	0.24251890703876755	0.37538455339404014	0	0	0.026933991412367832	0.03280359958450774	0.07803558065553619	0.06694072670816735	0.10554012607030525	0.04008141836093324	0.03176109677537498
SimData1098	0.22687081637416623	0.34306916218580225	0	0	0.02914106580156372	0.03392668001290917	0.097227983574719	0.06250333332214368	0.11276674319663302	0.07254833249656609	0.02194588303549676
SimData1099	0.2394672941205848	0.37150657951135513	0	0	0.02825486408853885	0.03927301252088992	0.08903486821797216	0.05369408828472493	0.10592472728799816	0.04189771148628895	0.03094685448164701
SimData11	0.21940126717342476	0.3356690744923347	0	0	0.02787440829999071	0.03326072629226402	0.104396460098685	0.076015715174238635	0.12789433491429128	0.05433986800941418	0.02114814554535668
SimData110	0.2364940200343461	0.3640481384495265	0	0	0.02795375654137006	0.0322673143080563	0.08026089141371377	0.07125875530198948	0.11826308393063774	0.04099303018664315	0.02846100983371692
SimData1100	0.23956835308198768	0.371028426936481	0	0	0.02784883796962325	0.03853386674164191	0.08817946165047533	0.05969047779238941	0.10539519130737092	0.03858186330085918	0.03117352121917127
SimData1101	0.23908448572701105	0.3704848325401945	0	0	0.02783122297830762	0.0384462628476737	0.08796632979579955	0.06155320422926986	0.10528877648401871	0.03846156914081897	0.03088331625690608
SimData1102	0.25468066045493115	0.39085416428581904	0	0	0.02411005706744732	0.0426856942792243	0.089332981503336	0.02611572315398019	0.10785595374432458	0.03759488197092104	0.02676988354001647
SimData1103	0.27213185221433117	0.4088157774242616	0	0	0.02269394270390086	0.04328916968208128	0.07852065075173195	0.02739048516159983	0.10340310049170667	0.02277435521225409	0.02098066635813249
SimData1104	0.25560687729525394	0.4396708338483411	0	0	0.02115973885148516	0.05094458915959129	0.07016516379022748	0.02153163046667265	0.10349528568872209	0.01561114872315527	0.02181473217655102
SimData1105	0.216766252436742	0.5006144060692723	0	0	0.02360438952527651	0.0539728737363397	0.08345649255229869	0.01600426063362314	0.08410338666206954	0	0.02147793838437824
SimData1106	0.20217848591655757	0.3044317510388892	0	0	0.01959072027517501	0.01103489675454834	0.10705763497936202	0.1442660683371188	0.11997894634849524	0.05818005445299269	0.03328144189686109
SimData1107	0.20495749310576433	0.3080984478772162	0.00255497826472111	0	0.01443288147017044	0.01635244665703799	0.10740225350193762	0.14016999583727344	0.12285760974300848	0.05576657923699686	0.02740731430587357
SimData1108	0.20651799887545097	0.3097538538788248	0	0	0.02032601391495787	0.02096005141316725	0.11301394074256534	0.12806944409033524	0.12290701463750074	0.05095563175880246	0.02749605068839533
SimData1109	0.19537886115826184	0.28083956980963654	0	0	0.02365639806335008	0.0165476525484817	0.12221165813840272	0.11191276191102612	0.1348803235843185	0.0853930730231932	0.02917970176332917
SimData111	0.24035059003173995	0.35390263446255565	0	0	0.02939271017320493	0.0268960373968013	0.08507491838621034	0.05161772815067135	0.11302393775131178	0.07434882098770848	0.02539262265979622
SimData1110	0.2089248416614704	0.30047138275385343	0	0	0.02296048587954177	0.02621194195853497	0.11046337239416738	0.08585628155508311	0.1409800262877504	0.08539259355674579	0.01873907395285282
SimData1111	0.2237861034827381	0.3362971740920812	0	0	0.02372101048062876	0.03289622597732484	0.11769177530113734	0.07430455074001825	0.12085178142759086	0.04434792147524775	0.02610345702323292
SimData1112	0.22909997756021516	0.344886867098107	0	0	0.0207084674260459	0.03284999989548364	0.11998251243169988	0.07530246160936897	0.11885677007802778	0.03912030921308856	0.01919263468796311
