Gene.Symbol	cell_type
MNAT1	Myocytes
MNDA	Dendritic.cells
MOAP1	Mast.cells
MOB1B	Dendritic.cells
MOB3C	Mast.cells
MOB4	CAFs
MOCS1	CAFs
MORC2.AS1	Malignant.cells
MORN2	Malignant.cells
MPDU1	B.cells
MPEG1	Macrophages
MPHOSPH10	B.cells
MPHOSPH6	Macrophages
MPHOSPH9	Macrophages
MPLKIP	Malignant.cells
MPP1	Mast.cells
MPPE1	T.cells.CD4
MPST	Malignant.cells
MPZL2	Endothelial.cells
MRC1	Macrophages
MRGPRF	CAFs
MROH1	Macrophages
MRPL1	T.cells.CD4
MRPL10	T.cells.CD8
MRPL11	Macrophages
MRPL12	Malignant.cells
MRPL13	Malignant.cells
MRPL15	Myocytes
MRPL16	Dendritic.cells
MRPL17	B.cells
MRPL21	Malignant.cells
MRPL23	Macrophages
MRPL35	Dendritic.cells
MRPL40	Myocytes
MRPL46	Malignant.cells
MRPL47	Myocytes
MRPL49	CAFs
MRPL50	Mast.cells
MRPL54	B.cells
MRPS14	Endothelial.cells
MRPS17	Myocytes
MRPS23	Dendritic.cells
MRPS25	B.cells
MRPS30	Myocytes
MRPS33	B.cells
MRPS35	Myocytes
MRPS9	Endothelial.cells
MRRF	Myocytes
MRVI1	CAFs
MS4A2	Mast.cells
MS4A4A	Macrophages
MS4A6A	Macrophages
MS4A7	Macrophages
MSC	CAFs
MSI2	B.cells
MSL3	T.cells.CD4
MSLN	Malignant.cells
MSMO1	Endothelial.cells
MSR1	Macrophages
MSRA	Mast.cells
MSRB1	Myocytes
MSRB3	CAFs
MSTO1	B.cells
MT1E	Malignant.cells
MT1M	CAFs
MT1X	Myocytes
MTA2	Endothelial.cells
MTERFD1	Dendritic.cells
MTFP1	Malignant.cells
MTHFD1	Mast.cells
MTHFD2	Dendritic.cells
MTM1	Endothelial.cells
MTMR14	Macrophages
MTMR4	Macrophages
MTO1	Myocytes
MTR	Mast.cells
MTRR	Macrophages
MTSS1	Dendritic.cells
MTUS1	Endothelial.cells
MTX1	Mast.cells
MUC1	Malignant.cells
MUL1	Endothelial.cells
MURC	Myocytes
MUS81	Dendritic.cells
MUSK	Myocytes
MUSTN1	Myocytes
MUT	Myocytes
MVD	Endothelial.cells
MX1	Malignant.cells
MX2	T.cells.CD4
MXD1	Macrophages
MXRA8	CAFs
MYBPC1	Myocytes
MYBPC2	Myocytes
MYBPH	Myocytes
MYC	CAFs
MYCBP2	Dendritic.cells
MYCT1	Endothelial.cells
MYF6	Myocytes
MYH1	Myocytes
MYH11	CAFs
MYH3	Myocytes
MYL1	Myocytes
MYL2	Myocytes
MYL4	Mast.cells
MYL9	CAFs
MYLIP	Mast.cells
MYLK	CAFs
MYLPF	Myocytes
MYNN	Myocytes
MYO1B	Endothelial.cells
MYO1F	Macrophages
MYO1G	Dendritic.cells
MYO5C	Endothelial.cells
MYOCD	CAFs
MYOG	Myocytes
MYOM3	Myocytes
MYOT	Myocytes
MYOZ1	Myocytes
MYOZ2	Myocytes
MZB1	B.cells
N4BP2L1	Dendritic.cells
NAA15	Mast.cells
NAA25	Endothelial.cells
NAAA	T.cells.CD4
NAB1	T.cells.CD8
NABP1	Dendritic.cells
NAF1	Mast.cells
NAGA	Macrophages
NAGPA	Macrophages
NAIP	Macrophages
NAPG	Mast.cells
NAPSB	Dendritic.cells
NARS2	Myocytes
NBEAL1	CAFs
NBPF16	T.cells.CD8
NBPF9	T.cells.CD8
NCAM1	Myocytes
NCCRP1	Dendritic.cells
NCF1	B.cells
NCF1C	B.cells
NCF2	Macrophages
NCF4	B.cells
NCK1	Macrophages
NCK2	T.cells.CD4
NCKAP1L	Macrophages
NCLN	Macrophages
NCOA2	B.cells
NCOA3	B.cells
NCOA7	Endothelial.cells
NDE1	Dendritic.cells
NDFIP2	Mast.cells
NDRG2	Myocytes
NDRG4	Malignant.cells
NDST1	Endothelial.cells
NDST2	Mast.cells
NDUFA10	Dendritic.cells
NDUFA4L2	Malignant.cells
NDUFB9	Myocytes
NDUFS1	Mast.cells
NEB	Myocytes
NECAP1	B.cells
NECAP2	T.cells.CD4
NEDD4L	B.cells
NEDD9	Endothelial.cells
NEK5	T.cells.CD4
NEK6	Mast.cells
NELL2	T.cells.CD8
NET1	Dendritic.cells
NEURL2	Myocytes
NEXN	Myocytes
NFASC	CAFs
NFATC2	Endothelial.cells
NFIA	CAFs
NFIB	CAFs
NFIC	Myocytes
NFIL3	CAFs
NFKB1	Dendritic.cells
NFKB2	Dendritic.cells
NFKBIB	T.cells.CD8
NFKBID	Mast.cells
NFYC	Mast.cells
NGEF	Myocytes
NGFRAP1	Malignant.cells
NGLY1	B.cells
NHLRC2	Myocytes
NHLRC3	Macrophages
NID1	CAFs
NIPSNAP1	Malignant.cells
NIT1	Mast.cells
NIT2	Malignant.cells
NKAP	Mast.cells
NKG7	T.cells.CD8
NKX3.1	Myocytes
NLRC3	T.cells.CD8
NLRC5	T.cells.CD8
NLRP1	T.cells.CD4
NLRP12	T.cells.CD4
NLRP3	Macrophages
NMD3	CAFs
NME1	Malignant.cells
NME1.NME2	Malignant.cells
NME4	Endothelial.cells
NME6	Dendritic.cells
NME7	Malignant.cells
NMRAL1	Malignant.cells
NMRK1	B.cells
NMRK2	Myocytes
NMT1	Myocytes
NMT2	Mast.cells
NNMT	Myocytes
NOB1	Malignant.cells
NOG	Myocytes
NOL3	CAFs
NOL9	T.cells.CD8
NOMO1	Endothelial.cells
NOMO2	B.cells
NOP16	Myocytes
NOS3	Endothelial.cells
NOSTRIN	Endothelial.cells
NOTCH4	Endothelial.cells
NOV	Endothelial.cells
NOX4	Endothelial.cells
NPAT	Dendritic.cells
NPDC1	Endothelial.cells
NPEPL1	Endothelial.cells
NPL	Macrophages
NPM3	Malignant.cells
NPNT	CAFs
NPR1	Endothelial.cells
NPRL2	Dendritic.cells
NPTN	CAFs
NQO1	Malignant.cells
NR2F2	CAFs
NR3C1	T.cells.CD4
NRAS	Dendritic.cells
NRBF2	B.cells
NREP	Endothelial.cells
NRG1	Macrophages
NRIP2	CAFs
NRN1	Endothelial.cells
NRP1	Endothelial.cells
NRP2	Dendritic.cells
NSA2	Malignant.cells
NSDHL	Malignant.cells
NSMAF	Macrophages
NSMCE1	Mast.cells
NSUN4	Mast.cells
NSUN5	Macrophages
NSUN5P2	B.cells
NT5C3	T.cells.CD4
NT5C3B	Endothelial.cells
NT5DC1	Myocytes
NTPCR	Malignant.cells
NTRK1	Mast.cells
NTRK2	CAFs
NUAK2	Dendritic.cells
NUB1	Dendritic.cells
NUCB2	B.cells
NUDT1	Dendritic.cells
NUDT14	Myocytes
NUDT16L1	T.cells.CD8
NUDT9	Myocytes
NUP153	Macrophages
NUP160	Mast.cells
NUP210	T.cells.CD8
NUP37	Malignant.cells
NUP88	Endothelial.cells
NUPR1	CAFs
NUSAP1	T.cells.CD8
NXN	T.cells.CD4
NXT2	Dendritic.cells
OAS2	Dendritic.cells
OAS3	Malignant.cells
OASL	T.cells.CD8
OBSCN	Myocytes
OCIAD2	T.cells.CD4
OCLM	Myocytes
ODC1	Malignant.cells
OFD1	T.cells.CD8
OLA1	Myocytes
OLFM1	Endothelial.cells
OLFML1	CAFs
OLFML2B	CAFs
OLFML3	CAFs
OLR1	Macrophages
OPA3	T.cells.CD4
ORMDL2	Malignant.cells
ORMDL3	B.cells
OSBPL1A	CAFs
OSBPL2	B.cells
OSBPL3	B.cells
OSBPL5	Endothelial.cells
OSBPL9	Mast.cells
OSGEP	Macrophages
OSMR	CAFs
OSR2	Malignant.cells
OTUD1	Macrophages
OTUD5	Macrophages
OVOL1	Malignant.cells
OXLD1	Dendritic.cells
P2RX1	Mast.cells
P2RX4	B.cells
P2RY10	T.cells.CD4
P2RY13	Macrophages
P2RY14	Mast.cells
P2RY2	Myocytes
P2RY6	Endothelial.cells
P2RY8	B.cells
PACS1	Dendritic.cells
PACSIN3	Myocytes
PADI2	Myocytes
PAFAH1B1	T.cells.CD8
PAFAH1B3	B.cells
PAG1	T.cells.CD4
PAICS	Endothelial.cells
PAK1	Mast.cells
PALLD	CAFs
PALMD	Endothelial.cells
PAPD4	Macrophages
PAPSS1	Dendritic.cells
PAQR7	Mast.cells
PAR.SN	Myocytes
PARL	Macrophages
PARM1	CAFs
PARP15	T.cells.CD4
PARP4	Mast.cells
PARP8	T.cells.CD8
PARVA	CAFs
PARVG	T.cells.CD8
PASK	T.cells.CD4
PBDC1	Endothelial.cells
PBRM1	Myocytes
PBX4	T.cells.CD4
PBXIP1	T.cells.CD4
PCDH12	Endothelial.cells
PCDH18	CAFs
PCED1A	Endothelial.cells
PCED1B.AS1	T.cells.CD4
PCGF1	Malignant.cells
PCGF3	Myocytes
PCNA	Malignant.cells
PCNT	Myocytes
PCOLCE	CAFs
PCSK7	T.cells.CD4
PCYOX1L	Macrophages
PDCD1	T.cells.CD8
PDCD1LG2	Dendritic.cells
PDCD4	T.cells.CD8
PDCL3	Dendritic.cells
PDE1A	CAFs
PDE2A	Endothelial.cells
PDE3B	T.cells.CD8
PDE4A	Mast.cells
PDE4B	T.cells.CD4
PDE4D	T.cells.CD8
PDE4DIP	Myocytes
PDE7B	Endothelial.cells
PDGFA	CAFs
PDGFRA	CAFs
PDGFRB	CAFs
PDGFRL	CAFs
PDHX	Myocytes
PDIA5	B.cells
PDK1	B.cells
PDK2	Myocytes
PDK3	CAFs
PDK4	CAFs
PDLIM1	Endothelial.cells
PDLIM3	Myocytes
PDLIM4	Malignant.cells
PDLIM7	Myocytes
PDP1	Malignant.cells
PDPK1	Myocytes
PDPN	Malignant.cells
PDZK1IP1	Malignant.cells
PEA15	Endothelial.cells
PECAM1	Endothelial.cells
PELO	Endothelial.cells
PERP	Malignant.cells
PEX10	Endothelial.cells
PEX26	Dendritic.cells
PFDN4	Myocytes
PFDN6	Dendritic.cells
PFKM	Myocytes
PFN2	Myocytes
PGAM2	Myocytes
PGF	CAFs
PGM1	Myocytes
PGM3	B.cells
PGRMC1	CAFs
PHC2	Myocytes
PHF1	B.cells
PHF11	T.cells.CD4
PHF17	Mast.cells
PHF20	Mast.cells
PHF5A	B.cells
PHGDH	Malignant.cells
PHIP	Mast.cells
PHLDA2	CAFs
PHLDA3	Myocytes
PHLDB2	CAFs
PHTF1	Mast.cells
PHYH	Myocytes
PI15	CAFs
PI3	Malignant.cells
PI4KA	Mast.cells
PIAS2	Macrophages
PIAS4	Endothelial.cells
PICALM	Dendritic.cells
PID1	Macrophages
PIGC	Dendritic.cells
PIGG	Endothelial.cells
PIGH	B.cells
PIGP	Myocytes
PIH1D1	Endothelial.cells
PIK3CD	T.cells.CD8
PIK3CG	B.cells
PIK3IP1	T.cells.CD4
PIK3R1	Myocytes
PIK3R3	Endothelial.cells
PIK3R5	Macrophages
PIK3R6	Mast.cells
PIKFYVE	Mast.cells
PILRA	Macrophages
PILRB	T.cells.CD8
PIM1	B.cells
PIM2	B.cells
PINX1	Endothelial.cells
PION	Macrophages
PIP4K2A	T.cells.CD8
PISD	Endothelial.cells
PITX2	Myocytes
PJA1	Malignant.cells
PKIG	Myocytes
PKN1	Macrophages
PKP1	Malignant.cells
PKP3	Malignant.cells
PKP4	Endothelial.cells
PLA1A	Endothelial.cells
PLA2G15	Macrophages
PLA2G16	Dendritic.cells
PLA2G2A	CAFs
PLA2G4A	Mast.cells
PLA2G4B	Malignant.cells
PLAC8	T.cells.CD4
PLAC9	CAFs
PLAGL1	CAFs
PLAT	Mast.cells
PLAU	Macrophages
PLAUR	Macrophages
PLBD1	Macrophages
PLBD2	Macrophages
PLCE1	CAFs
PLCG2	B.cells
PLCXD1	T.cells.CD4
PLD2	Dendritic.cells
PLD3	Macrophages
PLEK	Macrophages
PLEK2	Malignant.cells
PLEKHA2	T.cells.CD8
PLEKHF1	Malignant.cells
PLEKHF2	Mast.cells
PLEKHG1	Endothelial.cells
PLEKHJ1	T.cells.CD8
PLEKHO2	Dendritic.cells
PLGRKT	Dendritic.cells
PLIN2	Mast.cells
PLK1	Malignant.cells
PLK2	Endothelial.cells
PLN	CAFs
PLOD2	CAFs
PLS3	CAFs
PLSCR4	CAFs
PLTP	Macrophages
PLVAP	Endothelial.cells
PLXDC2	Macrophages
PLXNC1	Dendritic.cells
PLXND1	Endothelial.cells
PMAIP1	T.cells.CD4
PML	Dendritic.cells
PMM1	CAFs
PMM2	Endothelial.cells
PMP22	Endothelial.cells
PMS2P1	Endothelial.cells
PNOC	B.cells
PNPLA2	Endothelial.cells
PODN	CAFs
PODXL	Endothelial.cells
POGLUT1	Dendritic.cells
POLD2	Malignant.cells
POLG	T.cells.CD8
POLR1C	Endothelial.cells
POLR2C	Myocytes
POLR2H	Malignant.cells
POLR2M	CAFs
POLR3D	Myocytes
POLR3E	Macrophages
POLR3GL	T.cells.CD8
POLR3K	Mast.cells
POLRMT	Endothelial.cells
POM121	Myocytes
POP5	Malignant.cells
POP7	Myocytes
POPDC3	Myocytes
POSTN	CAFs
POU2AF1	B.cells
POU2F2	B.cells
PPA1	Dendritic.cells
PPA2	Dendritic.cells
PPAP2A	Mast.cells
PPAP2B	CAFs
PPAP2C	Malignant.cells
PPAPDC1B	B.cells
PPARD	Myocytes
PPCS	T.cells.CD4
PPFIBP2	Myocytes
PPHLN1	T.cells.CD4
PPIEL	T.cells.CD8
PPIF	Macrophages
PPIH	Malignant.cells
PPIL2	Macrophages
PPIP5K2	Mast.cells
PPL	Malignant.cells
PPM1D	T.cells.CD8
PPM1K	T.cells.CD4
PPM1M	Macrophages
PPP1R12B	CAFs
PPP1R13L	Malignant.cells
PPP1R14A	CAFs
PPP1R14B	Myocytes
PPP1R14C	Malignant.cells
PPP1R16B	T.cells.CD8
PPP1R26	Dendritic.cells
PPP1R27	Myocytes
PPP2CB	Dendritic.cells
PPP2R1B	Endothelial.cells
PPP3CC	T.cells.CD8
PPP4R1	Malignant.cells
PRADC1	Myocytes
PRAF2	Endothelial.cells
PRC1	Malignant.cells
PRCC	T.cells.CD8
PRCP	Endothelial.cells
PRDM1	B.cells
PRDM2	T.cells.CD4
PRDX4	B.cells
PREB	B.cells
PRELID2	Mast.cells
PRELP	CAFs
PREP	Endothelial.cells
PREX1	T.cells.CD8
PREX2	Endothelial.cells
PRF1	T.cells.CD8
PRG2	Mast.cells
PRICKLE3	Endothelial.cells
PRKAB1	Dendritic.cells
PRKAB2	Myocytes
PRKACB	T.cells.CD4
PRKAG1	Malignant.cells
PRKCD	Mast.cells
PRKCDBP	CAFs
PRKCH	T.cells.CD8
PRKCQ	T.cells.CD8
PRKD2	Endothelial.cells
PRKD3	Mast.cells
PRKX	T.cells.CD8
PRMT3	Myocytes
PRMT5	Myocytes
PRMT7	Endothelial.cells
PROCR	Mast.cells
PROM1	Mast.cells
PROS1	Mast.cells
PRPF18	Myocytes
PRPF3	T.cells.CD4
PRPF31	T.cells.CD4
PRPF39	Mast.cells
PRPF4	Dendritic.cells
PRPS1	T.cells.CD8
PRPS2	Mast.cells
PRR24	CAFs
PRR5	Endothelial.cells
PRRC2B	Myocytes
PRRG1	Endothelial.cells
PRRX1	CAFs
PRSS23	Endothelial.cells
PRSS3	Malignant.cells
PRSS8	Malignant.cells
PRUNE2	Myocytes
PSAT1	B.cells
PSEN2	Dendritic.cells
PSIP1	T.cells.CD4
PSMD6.AS2	T.cells.CD4
PSMG1	Malignant.cells
PSTPIP1	T.cells.CD8
PSTPIP2	Macrophages
PTAFR	Macrophages
PTGDS	CAFs
PTGER2	Mast.cells
PTGER4	T.cells.CD4
PTGES	Malignant.cells
PTGES2	Dendritic.cells
PTGFRN	Malignant.cells
PTGIR	CAFs
PTGR1	CAFs
PTGS1	Mast.cells
PTGS2	Mast.cells
PTHLH	Malignant.cells
PTK2	Endothelial.cells
PTK2B	T.cells.CD8
PTK7	Malignant.cells
PTP4A3	CAFs
PTPLAD1	Endothelial.cells
PTPMT1	Dendritic.cells
PTPN1	B.cells
PTPN22	T.cells.CD8
PTPN6	Mast.cells
PTPN7	T.cells.CD8
PTPRA	Macrophages
PTPRB	Endothelial.cells
PTPRC	T.cells.CD8
PTPRCAP	T.cells.CD8
PTPRE	Macrophages
PTPRF	Malignant.cells
PTPRM	Endothelial.cells
PTRH2	B.cells
PTRHD1	Myocytes
PTTG1	T.cells.CD4
PVRIG	T.cells.CD8
PVRL2	Endothelial.cells
PVRL4	Malignant.cells
PVT1	Mast.cells
PWP2	Endothelial.cells
PXDN	Endothelial.cells
PYCR1	B.cells
PYGL	Malignant.cells
PYHIN1	T.cells.CD4
QDPR	B.cells
QPCT	Endothelial.cells
QPCTL	T.cells.CD4
QPRT	B.cells
QSOX1	Macrophages
R3HCC1	Myocytes
R3HDM4	Endothelial.cells
RAB11FIP1	T.cells.CD4
RAB13	Endothelial.cells
RAB20	CAFs
RAB24	B.cells
RAB25	Malignant.cells
RAB27A	T.cells.CD8
RAB27B	Mast.cells
RAB2B	T.cells.CD8
RAB30	B.cells
RAB31	Macrophages
RAB32	Mast.cells
RAB37	Mast.cells
RAB38	Malignant.cells
RAB3C	Endothelial.cells
RAB40B	Myocytes
RAB42	T.cells.CD4
RAB44	Mast.cells
RAB4B	Dendritic.cells
RAB5B	Dendritic.cells
RAB7L1	Dendritic.cells
RAB8B	Dendritic.cells
RAB9A	Dendritic.cells
RABEP1	Myocytes
RABGAP1	Dendritic.cells
RABGAP1L	T.cells.CD8
RABGGTA	Endothelial.cells
RABL2B	Dendritic.cells
RAC2	Mast.cells
RAD50	Dendritic.cells
RAD54L2	Myocytes
RAE1	Myocytes
RAI14	Endothelial.cells
RALB	Mast.cells
RALGDS	T.cells.CD8
RALGPS2	B.cells
RAMP1	Myocytes
RAMP2	Endothelial.cells
RAMP3	Endothelial.cells
RANGAP1	Malignant.cells
RANGRF	Dendritic.cells
RAP1A	Endothelial.cells
RAP2B	Dendritic.cells
RAPGEF1	B.cells
RAPGEF3	Endothelial.cells
RAPGEF4	Endothelial.cells
RAPGEF6	T.cells.CD4
RAPH1	Myocytes
RARG	Malignant.cells
RARRES1	CAFs
RARRES2	CAFs
RARRES3	Myocytes
RASA2	T.cells.CD8
RASA3	T.cells.CD4
RASA4	Endothelial.cells
RASAL3	T.cells.CD8
RASD1	CAFs
RASGEF1B	Macrophages
RASGRP2	T.cells.CD4
RASGRP4	Mast.cells
RASL12	CAFs
RASSF4	Dendritic.cells
RASSF5	Mast.cells
RASSF6	B.cells
RB1	Dendritic.cells
RBBP8	Malignant.cells
RBCK1	T.cells.CD8
RBL2	T.cells.CD8
RBM10	B.cells
RBM18	Myocytes
RBM22	T.cells.CD4
RBM23	Endothelial.cells
RBM24	Myocytes
RBM27	Dendritic.cells
RBM33	B.cells
RBM41	B.cells
RBM42	Dendritic.cells
RBM45	Endothelial.cells
RBM47	Dendritic.cells
RBM48	T.cells.CD8
RBMS3	CAFs
RBP1	Malignant.cells
RC3H2	Macrophages
RCAN1	Endothelial.cells
RCAN2	CAFs
RCAN3	Mast.cells
RCC1	Malignant.cells
RCL1	Myocytes
RCN1	Endothelial.cells
RCN3	CAFs
RCSD1	T.cells.CD8
RDH11	Mast.cells
REC8	Mast.cells
RECQL5	Dendritic.cells
REL	Mast.cells
RELB	Dendritic.cells
RERG	CAFs
RERGL	CAFs
RFC4	Malignant.cells
RFTN1	Dendritic.cells
RFXANK	B.cells
RGCC	T.cells.CD8
RGL1	Macrophages
RGL2	Endothelial.cells
RGMA	CAFs
RGS1	Mast.cells
RGS10	Mast.cells
RGS13	Mast.cells
RGS16	CAFs
RGS19	Macrophages
RGS3	Endothelial.cells
RGS5	CAFs
RHBDD1	B.cells
RHBDF2	Macrophages
RHCG	Malignant.cells
RHOBTB3	Mast.cells
RHOC	Endothelial.cells
RHOD	Malignant.cells
RHOF	Dendritic.cells
RHOG	Mast.cells
RHOH	T.cells.CD4
RHOJ	Endothelial.cells
RILPL2	T.cells.CD4
RIN1	Endothelial.cells
RIPK2	Dendritic.cells
RIPK4	Malignant.cells
RLIM	Dendritic.cells
RMND5A	T.cells.CD8
RNASE1	Macrophages
RNASE4	CAFs
RNASE6	Macrophages
RNASEH2A	Malignant.cells
RNASEH2B	Mast.cells
RNASET2	Macrophages
RND1	Endothelial.cells
RND3	CAFs
RNF11	Dendritic.cells
RNF113A	T.cells.CD8
RNF115	Macrophages
RNF125	T.cells.CD8
RNF130	Mast.cells
RNF138	T.cells.CD4
RNF139	T.cells.CD8
RNF141	Dendritic.cells
RNF144B	Macrophages
RNF166	T.cells.CD8
RNF19A	T.cells.CD8
RNF2	Mast.cells
RNF20	Macrophages
RNF216	T.cells.CD4
RNF24	CAFs
RNF34	B.cells
RNF6	T.cells.CD8
ROBO4	Endothelial.cells
RORA	T.cells.CD4
RPA3	Malignant.cells
RPAP1	Macrophages
RPE	Malignant.cells
RPF2	Malignant.cells
RPGR	Endothelial.cells
RPL39L	Malignant.cells
RPL3L	Myocytes
RPP21	T.cells.CD8
RPP38	Dendritic.cells
RPP40	Endothelial.cells
RPRD1B	Myocytes
RPS27L	Dendritic.cells
RPS4Y1	Endothelial.cells
RPS6KA1	Dendritic.cells
RPS6KA2	Endothelial.cells
RPS6KA5	Mast.cells
RPS6KB1	T.cells.CD4
RPS6KB2	B.cells
RPUSD4	Myocytes
RRAD	Myocytes
RRAS	Endothelial.cells
RRBP1	B.cells
RRM1	Myocytes
RRM2	Malignant.cells
RRN3	Mast.cells
RRN3P3	Macrophages
RRP1	Endothelial.cells
RRP12	B.cells
RSAD2	Mast.cells
RSBN1	T.cells.CD4
RSC1A1	Myocytes
RSRC1	Malignant.cells
RTCA	T.cells.CD8
RTKN	Malignant.cells
RUFY1	Dendritic.cells
RUFY3	Dendritic.cells
RUNX1	Myocytes
RUNX3	T.cells.CD8
RUSC2	Myocytes
RUVBL1	Malignant.cells
RUVBL2	Myocytes
RWDD2B	Dendritic.cells
RWDD3	Macrophages
RWDD4	Myocytes
S100A1	Myocytes
S100A13	Myocytes
S100A14	Malignant.cells
S100A16	Malignant.cells
S100A2	Malignant.cells
S100A4	T.cells.CD4
S100A7	Malignant.cells
S100A8	Malignant.cells
S100A9	Malignant.cells
S1PR1	Endothelial.cells
S1PR3	CAFs
SAA1	Malignant.cells
SAA2	Myocytes
SAMHD1	Macrophages
SAMSN1	Dendritic.cells
SAP130	Myocytes
SART3	Myocytes
SASH3	T.cells.CD4
SAT1	Dendritic.cells
SATB1	T.cells.CD4
SBDSP1	T.cells.CD8
SBSN	Malignant.cells
SC5DL	T.cells.CD4
SCAPER	B.cells
SCARB1	Endothelial.cells
SCARF1	Endothelial.cells
SCCPDH	Myocytes
SCFD1	Dendritic.cells
SCHIP1	Myocytes
SCIMP	Macrophages
SCLT1	Macrophages
SCML4	T.cells.CD8
SCO2	Dendritic.cells
SCPEP1	CAFs
SCRN1	Malignant.cells
SCRN2	Myocytes
SCYL1	B.cells
SCYL2	Myocytes
SDC1	Malignant.cells
SDC2	CAFs
SDC4	Malignant.cells
SDCBP2	Malignant.cells
SDE2	T.cells.CD8
SDF2L1	B.cells
SDHAP1	B.cells
SDPR	Endothelial.cells
SDR16C5	Malignant.cells
SEC11C	B.cells
SEC16A	B.cells
SEC22C	Mast.cells
SEC24A	B.cells
SEC24B	Endothelial.cells
SEC24D	B.cells
SEL1L	B.cells
SEL1L3	B.cells
SELE	Endothelial.cells
SELENBP1	CAFs
SELL	T.cells.CD4
SELM	CAFs
SELP	Endothelial.cells
SELPLG	T.cells.CD8
SEMA3C	Malignant.cells
SEMA4A	Mast.cells
SEMA4B	Malignant.cells
SEMA4C	Endothelial.cells
SEMA4D	T.cells.CD8
SEMA7A	Dendritic.cells
SENP7	T.cells.CD8
SEPP1	Macrophages
SEPSECS	Myocytes
SEPT7P2	CAFs
SERINC2	Malignant.cells
SERINC5	T.cells.CD4
SERPINA1	Macrophages
SERPINA3	CAFs
SERPINB3	Malignant.cells
SERPINB5	Malignant.cells
SERPINB6	Endothelial.cells
SERPINB8	Macrophages
SERPINE1	Endothelial.cells
SERPINE2	Malignant.cells
SERPINF1	Myocytes
SERPING1	CAFs
SERPINH1	Endothelial.cells
SERPINI1	CAFs
SERTAD2	Macrophages
SESN2	Macrophages
SETD3	Myocytes
SETX	Dendritic.cells
SF3B5	T.cells.CD8
SFN	Malignant.cells
SFPQ	B.cells
SFRP2	CAFs
SFRP4	CAFs
SFXN1	T.cells.CD8
SFXN4	B.cells
SGCA	Myocytes
SGCD	Myocytes
SGCE	CAFs
SGIP1	CAFs
SGK1	Macrophages
SGSM3	Myocytes
SH2D1A	T.cells.CD8
SH2D2A	T.cells.CD8
SH2D3C	Endothelial.cells
SH3BGRL2	Endothelial.cells
SH3BP4	Endothelial.cells
SH3BP5	Endothelial.cells
SH3GL1	Endothelial.cells
SHISA2	Myocytes
SHISA4	Myocytes
SHMT2	B.cells
SHOX	T.cells.CD4
SIAE	Endothelial.cells
SIAH1	Malignant.cells
SIGIRR	T.cells.CD8
SIGLEC1	Macrophages
SIGLEC10	Macrophages
SIGLEC14	Macrophages
SIGLEC17P	Mast.cells
SIGLEC6	Mast.cells
SIGLEC9	Macrophages
SIL1	B.cells
SIPA1L1	Macrophages
SIRPA	Macrophages
SIRPG	T.cells.CD4
SIRT6	Endothelial.cells
SIT1	T.cells.CD4
SKAP1	T.cells.CD8
SKAP2	Macrophages
SLA	T.cells.CD8
SLA2	T.cells.CD8
SLAMF1	Dendritic.cells
SLAMF6	T.cells.CD8
SLAMF7	B.cells
SLAMF8	Macrophages
SLC10A3	B.cells
SLC11A1	Macrophages
SLC11A2	Mast.cells
SLC12A8	Mast.cells
SLC16A1	T.cells.CD4
SLC16A3	Macrophages
SLC17A9	B.cells
SLC18A2	Mast.cells
SLC19A2	Macrophages
SLC1A3	Macrophages
SLC1A4	B.cells
SLC24A6	Mast.cells
SLC25A12	CAFs
SLC25A17	Dendritic.cells
SLC25A19	Dendritic.cells
SLC25A24	Macrophages
SLC25A25	Dendritic.cells
SLC25A28	Myocytes
SLC25A4	Myocytes
SLC25A44	T.cells.CD8
SLC25A46	B.cells
SLC26A2	Mast.cells
SLC26A6	Endothelial.cells
SLC27A3	Endothelial.cells
SLC29A1	Endothelial.cells
SLC29A3	Macrophages
SLC2A1	Malignant.cells
SLC2A3	Mast.cells
SLC2A4	CAFs
SLC2A9	Macrophages
SLC30A5	Dendritic.cells
SLC30A9	Myocytes
SLC31A2	Macrophages
SLC33A1	Mast.cells
SLC35B1	B.cells
SLC35C1	Macrophages
SLC35C2	B.cells
SLC35D1	Mast.cells
SLC35E1	Macrophages
SLC35E2B	B.cells
SLC35E4	Endothelial.cells
SLC35F2	B.cells
SLC35G2	Endothelial.cells
SLC37A2	Macrophages
SLC37A4	Endothelial.cells
SLC38A1	T.cells.CD8
SLC38A10	Dendritic.cells
SLC38A11	CAFs
SLC38A5	B.cells
SLC39A11	Mast.cells
SLC39A13	CAFs
SLC39A14	CAFs
SLC39A4	Malignant.cells
SLC39A6	CAFs
SLC39A7	B.cells
SLC39A8	B.cells
SLC40A1	Macrophages
SLC41A2	Dendritic.cells
SLC43A3	Mast.cells
SLC44A1	Mast.cells
SLC45A3	Mast.cells
SLC4A2	Mast.cells
SLC4A5	Dendritic.cells
SLC5A3	B.cells
SLC5A6	Dendritic.cells
SLC6A6	Myocytes
SLC7A5	T.cells.CD8
SLC7A5P1	T.cells.CD8
SLC7A5P2	T.cells.CD8
SLC7A7	Macrophages
SLC7A8	Malignant.cells
SLC9A3R2	Endothelial.cells
SLC9A7P1	Macrophages
SLCO2A1	Endothelial.cells
SLCO2B1	Macrophages
SLCO4A1	Endothelial.cells
SLFN11	B.cells
SLFN5	Mast.cells
SLIT3	CAFs
SLN	Myocytes
SLPI	Malignant.cells
SMAD1	Endothelial.cells
