Genes	cell_type
POU6F1	CD4
PPBP	Mono
PPIC	M2
PPM1F	Neu
PPM1H	M1
PPP1CA	cancer
PPP1R14C	M1
PPP1R16B	B
PPP1R27	Mono
PPP2R2B	NK
PRAM1	Mono
PRF1	NK
PRKAR2A	cancer
PRKAR2B	Mono
PRKCA	CD4
PRKCH	CD8
PRKCQ	NK
PRMT6	NK
PROCR	M1
PROK2	Neu
PROZ	cancer
PRR7	NK
PRRG4	Neu
PRSS22	cancer
PRSS23	NK
PRTN3	cancer
PSAT1	M0
PSENEN	M2
PSORS1C1	cancer
PSTPIP2	M1
PTGDR	NK
PTGDS	M0
PTGER2	NK
PTGFRN	cancer
PTGS2	Neu
PTK2	cancer
PTMS	cancer
PTPN22	NK
PTPN6	Neu
PTPRK	cancer
PTPRM	CD8
PTPRO	B
PTX3	Mono
PUF60	cancer
PVR	M1
PXDC1	M1
PXN	Neu
PYGL	Neu
PYHIN1	NK
QPCT	Neu
QRSL1	B
QSOX2	B
RAB13	M1
RAB31	Neu
RAB32	M0
RAB39A	M1
RAB39B	NK
RAB42	M2
RAD9A	NK
RAMP1	M2
RAPGEF3	M2
RAPGEF5	B
RARRES1	M0
RASGEF1B	Mono
RASGRF1	M0
RASGRF2	CD4
RASGRP1	CD4
RASGRP2	NK
RASGRP3	B
RASL11B	M0
RASSF1	NK
RASSF4	M1
RAVER1	cancer
RBM23	Neu
RBM47	Neu
RBM4B	cancer
RBP7	Mono
RCAN3	CD4
RCN1	M1
RCVRN	Mono
RDH14	B
RELB	B
RELT	Neu
REM2	Neu
RET	M0
RETN	Mono
RGL1	M1
RGS16	M1
RGS20	M0
RGS9	NK
RHBDF1	M0
RHOF	cancer
RHOH	B
RHOU	Mono
RIC3	B
RIN2	M1
RIPPLY3	cancer
RLN1	CD4
RLN2	CD4
RNASE2	Mono
RNASE3	Neu
RNF121	M1
RNF128	M0
RNF157	CD4
RNF166	CD8
RNF217	M0
ROCK2	CD4
RORA	CD8
RPGRIP1	Neu
RPH3A	Mono
RPN1	cancer
RPP25	M2
RPS6KA5	Neu
RRAGD	M2
RRP15	CD4
RRP9	M1
RRS1	CD8
RSC1A1	M2
RTEL1	NK
RTKN	cancer
RTN1	Mono
RTN4R	M0
RUSC2	cancer
S100A1	M2
S100A12	Mono
S100A16	cancer
S100Z	Mono
S1PR1	CD4
S1PR3	Mono
S1PR4	Neu
S1PR5	NK
SALL2	cancer
SAMD3	NK
SAMD4A	Mono
SAMM50	M2
SAR1A	B
SARS2	cancer
SCARF1	Neu
SCG5	M1
SCML1	CD4
SCN3A	B
SCRIB	cancer
SDC2	M1
SDC4	M1
SDHD	CD4
SDK2	B
SDR42E1	CD4
SDSL	M0
SEC14L2	CD4
SEMA3G	M2
SEMA4B	Neu
SEMA4C	cancer
SERPINA1	Neu
SERPINE1	M1
SERPINF1	cancer
SERPINF2	M2
SERPINH1	cancer
SETD1B	B
SGMS2	cancer
SGPP2	M1
SGSM3	cancer
SGTA	cancer
SH2D1A	CD8
SH2D1B	NK
SH2D2A	NK
SH2D3A	CD4
SH3TC1	B
SHANK3	cancer
SHARPIN	cancer
SHB	M2
SHROOM1	cancer
SIAH1	B
SIDT1	B
SIGLEC10	Neu
SIGLEC5	Neu
SIGLEC7	M1
SIM2	cancer
SIPA1L2	Neu
SIPA1L3	B
SIRPD	Neu
SIRT2	NK
SIT1	CD8
SKAP1	NK
SLA2	NK
SLAIN1	CD4
SLAMF1	CD8
SLAMF6	CD8
SLAMF9	M2
SLC11A1	Neu
SLC12A7	cancer
SLC14A1	NK
SLC15A2	B
SLC15A3	M2
SLC16A10	M0
SLC16A11	B
SLC16A3	M1
SLC16A6	Mono
SLC17A9	M2
SLC19A1	Neu
SLC1A3	M1
SLC22A15	Neu
SLC22A16	M2
SLC22A17	cancer
SLC22A4	Neu
SLC24A4	Mono
SLC25A15	cancer
SLC25A24	M2
SLC25A4	cancer
SLC25A43	M0
SLC25A48	M0
SLC2A6	Mono
SLC30A4	B
SLC38A1	B
SLC38A11	B
SLC39A8	M1
SLC45A3	M0
SLC45A4	Neu
SLC46A2	Mono
SLC48A1	M0
SLC4A2	M0
SLC4A4	NK
SLC51B	M2
SLC5A5	CD4
SLC6A12	M0
SLC7A6	CD4
SLC7A7	M1
SLC8A1	M1
SLC9A2	M2
SLCO2B1	M2
SLCO3A1	Neu
SLCO4A1	M1
SLITRK4	M2
SLPI	Neu
SMAD1	cancer
SMG6	cancer
SMIM3	M1
SMYD5	B
SNED1	CD4
SNPH	CD4
SNURF	CD4
SNX21	Mono
SNX25	B
SOAT1	M2
SOCS2	cancer
SOCS6	M2
SOGA1	B
SORL1	Neu
SORT1	cancer
SOWAHC	M0
SOX8	CD4
SPARC	M0
SPATA13	Mono
SPATA5	CD4
SPATA9	NK
SPEG	cancer
SPI1	Neu
SPIB	B
SPIDR	M2
SPIN4	NK
SPINK2	CD8
SPINT2	cancer
SPOCK2	B
SPP1	M1
SPR	M2
SPRY4	cancer
SPSB1	M2
SQSTM1	Mono
SRCAP	cancer
SRCIN1	M2
SRD5A3	M0
SRGAP1	M2
SRR	M1
SSH3	cancer
