gene	Maha-Pt2	Maha-Pt27	Maha-Pt28	Maha-Pt30	Maha-Pt31	Maha-Pt37	Maha-Pt42	Maha-Pt47	Maha-Pt57	Maha-Pt61	Maha-Pt71	Maha-Pt76	Maha-Pt85	Maha-Pt86	Maha-Pt87	Maha-Pt9	Maha-Pt90
ACAP1	2.263484	5.207826	8.096045	1.980498	13.565798	12.861476	2.69106	6.436386	14.67158	5.282987	7.483323	2.027373	8.505499	2.704968	9.635828	4.136209	4.977623
ACAP2	53.140185	77.016764	76.767459	104.590386	57.104764	89.750216	207.673827	84.342797	36.951489	87.059048	117.768253	40.534383	55.671072	90.808449	75.345076	100.043947	94.496257
ACAP3	80.202298	19.800981	11.777577	14.919632	10.219361	14.54804	15.970302	36.875301	16.164781	16.35253	22.122323	20.389128	11.952239	10.219691	27.020899	45.431288	36.62374
ACAT1	71.42428	28.231918	56.515931	29.740734	62.439649	86.168097	35.115926	50.659598	39.661005	59.649462	39.615708	94.406137	86.26707	68.812944	54.671044	42.502571	55.789947
ACAT2	3.319437	11.227852	11.240652	8.690229	7.812373	6.280121	24.18844	6.63988	4.129529	6.04602	7.28912	19.646935	2.529923	8.30022	3.05377	6.19121	4.514449
ACBD3	40.245341	9.152631	7.76877	13.200383	8.637859	25.836446	8.676586	17.534786	10.983477	18.989081	16.35003	33.443617	8.036252	18.048348	21.612177	21.091835	8.425358
ACBD4	18.230826	5.6992	7.405984	3.279759	13.168516	21.526561	9.170197	11.654898	8.95314	20.517192	5.501894	4.092884	18.999306	15.362561	10.218077	8.97788	39.689784
ACBD5	69.302719	30.921782	73.953717	37.779258	31.66245	61.276911	50.024239	31.131006	22.567386	89.984364	39.230717	83.936898	41.182689	72.398173	44.376012	47.48553	67.277301
ACBD6	6.579779	17.488874	40.939646	35.633564	16.208762	9.122231	15.36945	0.787897	4.538996	31.616568	8.982721	12.360774	12.10981	11.029399	19.382155	10.081293	18.5002
ACCS	45.969046	9.087069	12.944998	10.973579	9.456948	31.378895	12.103516	14.790167	9.622998	22.513105	5.562802	16.060014	23.354772	28.608352	21.699876	11.099162	17.645664
ACD	7.301762	12.823639	4.662431	8.137081	9.235306	14.376327	16.524505	13.055934	5.273162	8.827776	9.148003	4.451182	7.027826	8.315223	10.837862	15.13424	9.874915
ACE	23.795001	74.22482	36.473526	35.028072	72.194259	58.199558	7.510537	32.657945	29.322237	16.672081	68.029933	54.06075	32.09852	36.308365	62.215786	40.283706	95.081448
ACE2	0.293221	0.725973	5.267132	0.452053	0.126734	13.659223	0.151343	0.178811	0.30566	0.559585	1.770938	13.967331	0.983553	1.337442	1.008496	0.177649	0
ACER1	0.040136	0.024628	0.034824	0	0.081125	0.092112	0.042206	0.05244	0.115895	0.049326	0.019763	0.089592	0.087141	0.026068	0.28219	0.02733	0.194665
ACER3	17.096354	31.740389	54.711035	35.189359	45.906529	46.454036	61.416154	26.303291	18.282214	67.38004	25.980757	28.596526	40.707032	37.434504	38.82214	39.176264	26.658696
ACHE	0.502738	0.4619	0.399504	0.118464	0.069432	0	0.194699	0.197667	0.506815	5.205524	1.881126	0.099384	4.740311	0.172468	1.905107	0.326053	0.190512
ACIN1	227.135933	104.322753	99.758019	100.278477	71.153754	107.208443	187.435858	101.541363	85.215356	137.221964	129.264354	183.56892	111.458646	132.30972	110.02695	120.738221	159.209631
ACKR1	0	0	0	0.119448	0.027506	0.126493	0	0	0	0	0.025162	0.029234	0.028099	0	0	0	0.035779
ACKR2	0.093555	0.2045	1.685565	0.276289	0.74794	0.834252	4.50016	0.335511	1.165328	44.649723	4.486854	11.082055	1.270964	2.288748	2.287681	0.243426	0.47343
ACKR3	9.551311	1.87031	12.886782	10.628987	13.924529	18.867977	5.174577	12.739491	5.56753	0.455713	9.580372	8.840944	13.05938	16.975277	16.761419	6.325647	25.686576
ACKR4	0.117807	0.435403	1.297186	1.369153	0.813504	2.537693	1.229427	2.839703	0.094105	2.158283	5.049212	3.048134	1.189777	2.070288	2.336712	0.9097	2.045251
ACLY	68.820216	80.604556	47.79639	134.193022	88.926398	168.189603	111.760023	90.005051	42.537845	90.587718	63.670714	106.070973	43.883498	68.668981	49.520461	96.685808	56.981862
ACMSD	1.115484	0.472369	2.720689	0.035073	0	18.750375	0	0	0.0743	0	0	0.351946	0	0	0.217105	0.097077	0
ACO1	14.866386	18.280735	12.89613	22.775769	17.37591	17.679059	5.996824	13.246669	13.389339	32.646582	16.372852	20.86548	22.434998	15.607207	17.512148	24.373189	12.545662
ACO2	17.350008	4.454467	7.701128	2.849233	4.462771	6.379026	3.788524	5.577668	3.360457	4.910953	1.678333	3.60107	3.844385	3.950392	6.739638	1.838979	1.680738
